"Timestamp","Gender","Major","How many friends would you say you were extremely close to before quarantine happened?"," Did you reconsider your friendship with your current friends and (re)consider ending the ties with some?","Have you lost any friends since the lockdown?","How much do you use social media in quarantine to stay in touch with your friends?","Did you actively try to interact with new people through social media in order to make new friends during the quarantine?","If yes then which applications did you use from the following (Check as many as you want): ","Have you made any new friends during quarantine from Habib?","Did your mental health suffer during the pandemic? And did you take part in online therapy for it?"
"2020/06/17 2:44:58 pm GMT+5","Female","SDP","3-5","Yes","No","7","No","","No","Yea but no Therapy"
"2020/06/17 2:48:27 pm GMT+5","Female","SDP","10 or more","No","No","10","Yes","Instagram","No","Yes"
"2020/06/17 2:49:07 pm GMT+5","Male","SDP","3-5","Yes","Yes","1","No","PUBG;i have deleted Social Media, due to excessive screen time. (Except Whatsapp) ","No","Yea but no Therapy"
"2020/06/17 2:49:49 pm GMT+5","Male","EE","0-2","No","No","8","No","","No","Yea but no Therapy"
"2020/06/17 2:50:48 pm GMT+5","Female","EE","3-5","No","No","5","Yes","WhatsApp","Yes","Yea but no Therapy"
"2020/06/17 2:51:07 pm GMT+5","Female","SDP","3-5","No","No","4","No","","No","No"
"2020/06/17 2:52:22 pm GMT+5","Female","SDP","3-5","Yes","Yes","9","No","","No","Yea but no Therapy"
"2020/06/17 2:56:37 pm GMT+5","Male","CS","6-9","No","No","8","No","","No","Yea but no Therapy"
"2020/06/17 2:57:31 pm GMT+5","Female","CS","3-5","Yes","Yes","10","Yes","Instagram;PUBG;Tinder/Bumble/Grindr/Any other Dating App","No","Yea but no Therapy"
"2020/06/17 2:58:22 pm GMT+5","Female","CND","3-5","No","No","10","No","","Yes","Yea but no Therapy"
"2020/06/17 3:00:38 pm GMT+5","Male","CS","3-5","Yes","No","8","No","","No","Yea but no Therapy"
"2020/06/17 3:02:30 pm GMT+5","Female","CND","10 or more","No","No","4","No","","No","Yea but no Therapy"
"2020/06/17 3:03:13 pm GMT+5","Female","SDP","6-9","Yes","No","8","No","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/17 3:04:34 pm GMT+5","Female","CND","3-5","Yes","Yes","5","Yes","Instagram","Yes","Yes"
"2020/06/17 3:07:40 pm GMT+5","","SDP","10 or more","No","No","10","No","","No","Yea but no Therapy"
"2020/06/17 3:09:59 pm GMT+5","Male","EE","0-2","Yes","Yes","8","No","","Yes","Yea but no Therapy"
"2020/06/17 3:10:35 pm GMT+5","Female","CND","3-5","No","No","9","No","","No","Yea but no Therapy"
"2020/06/17 3:11:54 pm GMT+5","Female","SDP","3-5","Yes","No","10","No","","No","Yea but no Therapy"
"2020/06/17 3:13:38 pm GMT+5","Female","SDP","6-9","Yes","Yes","5","No","","No","Yea but no Therapy"
